complaint_id,client_id,advisor_id,client_name,advisor_name,date_filed,category,description,severity,status,resolution_target_date,assigned_to,client_segment,aum_affected,related_accounts,communication_log,created_date,last_updated,monetary_impact,assigned_department,client_contact_preference,follow_up_actions,priority_score,communication_preference,escalation_level,resolution_due_date,associated_accounts,compliance_review_required,portfolio_value,follow_up_attempts,last_contact_date,complaint_owner,resolution_steps_taken,next_action,total_portfolio_value,relationship_tenure,client_assets,assigned_investigator,account_value,assigned_to_role,resolution_target,impact_amount,priority_client_status,assets_under_management,response_deadline,previous_complaints,related_transactions,communication_history,client_requested_actions,submission_date,owner_title,client_assets_under_management,assigned_case_manager,client_contact_attempts,date_reported,resolution_notes,related_products,resolution_owner,resolution_owner_id,assigned_supervisor,complaint_source,client_requested_action,contact_preference,complaint_date,financial_impact,subcategory,client_requested_compensation,compensation_amount_requested,relationship_tenure_years,resolution_sla,client_requested_callback,last_contact_attempt,department,resolution_deadline,followup_actions,priority_level,escalation_required,compliance_review,resolution_steps,account_type,contact_attempts,follow_up_notes,client_email,follow_up_date,days_outstanding,next_action_date,next_followup_date,estimated_financial_impact,compensation_requested,compensation_amount,priority_status,estimated_impact,risk_level
COMP-23875,CL-000086,ADV-00010,Kimberly Cho,Diego Medina,2023-11-28,advisor_conduct,"Client reports multiple instances of delayed responses to time-sensitive portfolio rebalancing requests. Three separate occasions in October 2023 where urgent messages went unanswered for over 48 hours. Most recent incident resulted in missed opportunity to reduce exposure before market downturn. Client estimates opportunity cost of $180,000 due to delayed execution.",high,in_progress,2023-12-12,Regional Compliance Officer,UHNW,8500000.0,"['ACC-7789234', 'ACC-7789235', 'ACC-7789236']","[{'date': '2023-11-28', 'type': 'initial_filing', 'notes': 'Complaint received via secure client portal'}, {'date': '2023-11-29', 'type': 'client_contact', 'notes': 'Acknowledgment sent to client'}]",2025-07-26 14:52:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP-23481,CL-000024,ADV-00022,Benjamin Huang,Emma Malik,2023-10-15,service_issue,"Client reported significant delays in response times to portfolio rebalancing requests. Three separate requests sent over 2 weeks (Oct 3, Oct 8, Oct 12) received no acknowledgment. Client attempted to reach advisor via phone 4 times without callback. Time-sensitive tax loss harvesting opportunity was missed due to delays.",high,in_progress,2023-10-22,Mark Stevens,,,"['ACC-84729', 'ACC-84730']",,2025-07-26 14:52:54,2023-10-17,12500.0,Client Relations,email,"['Schedule urgent client meeting', 'Review communication protocols', 'Assess tax impact']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP-23487,CL-000059,ADV-00005,Andrew Al-Omar,Ashley Espinoza,2023-11-15,service_issue,"Client reports repeated delays in response times to portfolio rebalancing requests. Three instances in the past month where it took over 72 hours to receive a response from advisor regarding time-sensitive trading decisions. Client estimates potential opportunity cost of $5,000 due to delayed executions.",medium,in_progress,2023-11-29,,,,"['ACC-78234', 'ACC-78235']","[{'date': '2023-11-15', 'type': 'initial_filing', 'notes': 'Complaint received via client portal'}, {'date': '2023-11-16', 'type': 'client_contact', 'notes': 'Initial acknowledgment sent to client'}]",2025-07-26 14:53:11,2023-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP-23487,CL-000098,ADV-00009,Valentina Han,Wang Yoon,2023-11-15,service_issue,Client reports multiple failed attempts to schedule quarterly portfolio review. Advisor not responding to emails or phone calls for past 3 weeks. Two scheduled video calls were cancelled last minute without rescheduling options provided.,medium,open,2023-11-29,,mass_affluent,,"['ACC-78234', 'ACC-78235']",,2025-07-26 14:53:18,2023-11-15,,,,,7.0,email,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP-23891,CL-000056,ADV-00012,Brenda Bansal,Thomas Ramos,2023-11-15,service_issue,Client reports repeated delays in receiving quarterly portfolio reviews. Last two quarters' reviews were delivered more than 3 weeks late. Multiple follow-up calls were required to receive the documents. Client expresses concern about inability to make timely investment decisions due to delayed reporting.,medium,in_progress,,Client Services Manager,,,"['ACC-78901', 'ACC-78902']",,2025-07-26 14:53:24,,,,email,"['Review reporting process workflow', 'Implement automated delivery system', 'Schedule client meeting to discuss concerns']",,,,2023-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP-00006,CL-000042,ADV-00003,Jacob Wisniewski,Gabriela Robinson,2024-01-15,service_issue,Client reported multiple delayed responses to time-sensitive portfolio rebalancing requests. Three separate instances in December 2023 where emails went unanswered for >48 hours. Client missed opportunity to adjust positions before market movement.,medium,in_progress,2024-02-15,,,,,,2025-07-26 14:53:30,2024-01-18,3200.0,,,"['Review email response protocols', 'Implement backup advisor coverage', 'Schedule client relationship recovery meeting']",,,,,"['ACC-78234', 'ACC-78235']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP-23891,CL-000050,ADV-00011,Kimberly Zhou,Malik Al-Hassan,2023-10-15,service_issue,"Client reports multiple delayed responses to time-sensitive portfolio rebalancing requests. Three separate instances where response time exceeded 48 hours, resulting in missed market opportunities. Client estimates potential opportunity cost of $15,000 due to delayed execution of trades.",high,in_progress,2023-10-29,,,,"['ACC-78901', 'ACC-78902']",,2025-07-26 14:53:36,2023-10-17,,,email,"['Schedule client review meeting', 'Audit communication response times', 'Review portfolio rebalancing protocols']",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP-00008,CL-000081,ADV-00012,Deborah Roosevelt,Thomas Ramos,2023-10-15,service_issue,Client reported multiple delayed responses to time-sensitive portfolio rebalancing requests. Three separate instances where advisor took >72 hours to respond to emails and calls regarding market volatility concerns. Client requested same-day responses for critical investment decisions as agreed in service agreement.,high,in_progress,2023-10-29,,mass_affluent,,"['ACC-45692', 'ACC-45693']","[{'date': '2023-10-15', 'type': 'initial_submission', 'notes': 'Complaint received through client portal'}, {'date': '2023-10-16', 'type': 'client_contact', 'notes': 'Acknowledgment sent to client'}]",2025-07-26 14:53:44,2023-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP-23487,CL-000003,ADV-00006,Jason Adams,Divya Contreras,2023-11-02,advisor_conduct,"Client reports multiple instances of delayed response to time-sensitive trading requests. Three separate occasions in October where trade execution was delayed by 24+ hours, resulting in missed market opportunities. Client also notes difficulty scheduling quarterly portfolio review meetings and lack of proactive communication regarding market volatility impacts on portfolio.",high,in_progress,2023-11-16,Sarah Chen,uhnw,,"['ACC-78234', 'ACC-78235', 'ACC-78236']",,2025-07-26 14:53:50,2023-11-05,,Client Relations,,,,,2.0,,,,24500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMP-23891,CL-000047,ADV-00018,Svetlana Zhou,Timothy Kemi,2023-11-15,service_issue,"Client reported multiple delays in receiving quarterly portfolio review reports. Last two reports were delivered 3 weeks after scheduled date. Client has made three attempts to schedule portfolio review meeting with advisor, with no response within promised 48-hour window.",medium,in_progress,2023-11-29,Regional Compliance Officer,mass_affluent,,,,2025-07-26 14:53:56,,,,,,,email,,,,,,2.0,2023-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
